type,code,name,description,category,sort,departmentCode,clinicCode,doctorCode,title,specialty,introduction,hotExpert,consultationFee,location,slotDate,period,stockTotal,stockAvailable,hotSlot,ruleText,notice,content,address,phone
hospital,hospital-demo,星海市第一人民医院,三级综合医院，提供智能导诊和线上预约服务,,,,,,,,,,,,,,,,,,,,星海市海云路 88 号,021-55667788
department,RESP,呼吸内科,发热、咳嗽、咽痛、慢性咳嗽和支气管炎等呼吸系统问题,内科,1,,,,,,,,,,,,,,,,,
department,NEUR,神经内科,头痛、头晕、失眠、偏头痛和肢体麻木等神经系统症状,内科,2,,,,,,,,,,,,,,,,,
department,CARD,心内科,胸闷、胸痛、心悸、高血压和冠心病风险评估,内科,3,,,,,,,,,,,,,,,,,
clinic,RESP-A,呼吸门诊 A,普通呼吸内科门诊,,,RESP,,,,,,,,门诊楼 3F,,,,,,,,,
clinic,NEUR-A,神经门诊 A,头痛头晕与睡眠障碍门诊,,,NEUR,,,,,,,,门诊楼 4F,,,,,,,,,
clinic,CARD-VIP,心内专家门诊,胸痛和心血管风险专家门诊,,,CARD,,,,,,,,门诊楼 5F,,,,,,,,,
doctor,DOC001,林知远,,,,RESP,RESP-A,,主任医师,呼吸系统感染、慢性咳嗽、肺部结节评估,擅长呼吸系统炎症、慢性咳嗽和肺部影像异常的综合判断,true,80,,,,,,,,,
doctor,DOC002,许清和,,,,NEUR,NEUR-A,,副主任医师,偏头痛、神经性头晕、睡眠障碍,长期从事头痛、头晕和睡眠障碍门诊诊疗,false,60,,,,,,,,,
doctor,DOC003,乔一凡,,,,CARD,CARD-VIP,,主任医师,胸闷胸痛、高血压、冠心病风险筛查,擅长胸痛快速分诊和心血管慢病管理,true,120,,,,,,,,,
schedule,,,,,,RESP,RESP-A,DOC001,,,,,,,2026-06-06,上午,18,18,false,,,,
schedule,,,,,,RESP,RESP-A,DOC001,,,,,,,2026-06-07,下午,12,9,false,,,,
schedule,,,,,,NEUR,NEUR-A,DOC002,,,,,,,2026-06-06,下午,16,11,false,,,,
schedule,,,,,,CARD,CARD-VIP,DOC003,,,,,,,2026-06-06,上午,6,4,true,,,,
rule,,,,,,RESP,,,,,,,,,,,,,,呼吸内科支持普通号和主任号，发热患者请先测温并佩戴口罩,连续高热或呼吸困难请直接急诊评估,,
rule,,,,,,CARD,,,,,,,,,,,,,,心内科专家号每日限量，热门号源建议提前预约,胸痛持续超过 15 分钟请直接急诊胸痛中心,,
knowledge,,胸痛导诊知识,胸闷胸痛伴活动后加重时，建议优先考虑心内科或胸痛中心,,,,,,,,,,,,,,,,,,,胸痛持续超过 15 分钟或伴出汗、濒死感时，应提示急诊胸痛中心。,
knowledge,,发热导诊知识,发热咳嗽伴咽痛时，优先匹配呼吸内科，连续高热需尽快就诊,,,,,,,,,,,,,,,,,,,发热、咳嗽、咽痛、黄痰可优先呼吸内科；伴呼吸困难时提高风险等级。,
